koi_disposition,koi_score,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_fpflag_nt,koi_fpflag_ss
CONFIRMED,1.0,9.48803557,2.9575,615.8,35.8,2.26,793.0,0,0
CONFIRMED,0.969,54.4183827,4.507,874.8,25.8,2.83,443.0,0,0
CANDIDATE,0.0,19.89913995,1.7822,10829.0,76.3,14.6,638.0,0,0
FALSE POSITIVE,0.0,1.736952453,2.40641,8079.2,505.6,33.46,1395.0,0,1
CONFIRMED,1.0,2.525591777,1.6545,603.3,40.9,2.75,1406.0,0,0
CONFIRMED,1.0,11.09432054,4.5945,1517.5,66.5,3.9,835.0,0,0
CONFIRMED,1.0,4.13443512,3.1402,686.0,40.2,2.77,1160.0,0,0
CONFIRMED,0.992,2.56658897,2.429,226.5,15.0,1.59,1360.0,0,0
FALSE POSITIVE,0.0,7.36178958,5.022,233.7,47.7,39.21,1342.0,0,1
CONFIRMED,1.0,16.06864674,3.5347,4914.3,161.9,5.76,600.0,0,0
CONFIRMED,0.811,2.470613377,1.74319,14231.0,4304.3,13.04,1339.0,0,0
CONFIRMED,1.0,2.204735417,3.88864,6674.7,5945.9,16.1,2048.0,0,1
CONFIRMED,0.998,3.522498429,3.19843,9145.7,1741.5,14.59,1521.0,0,0
CONFIRMED,1.0,3.709214104,2.6302,131.1,50.6,1.16,1206.0,0,0
FALSE POSITIVE,0.0,11.521446064,3.6399,17984.0,622.1,150.51,753.0,0,1
FALSE POSITIVE,0.0,19.40393776,12.2155,8918.7,214.7,7.18,523.0,0,1
FALSE POSITIVE,0.0,19.221388942,4.79843,74284.0,2317.0,49.29,698.0,0,1
FALSE POSITIVE,0.0,16.46983774,9.4378,10479.0,303.4,7.94,595.0,0,1
CONFIRMED,1.0,9.27358173,3.2875,1288.3,87.2,2.47,649.0,0,0
CONFIRMED,1.0,6.02930329,1.5821,1912.7,65.4,2.85,678.0,0,0
FALSE POSITIVE,0.0,2.696370652,3.6129,397.9,48.2,1.58,1066.0,0,1
CONFIRMED,1.0,5.349553819,3.0278,831.0,60.6,2.55,919.0,0,0
CONFIRMED,0.98,3.94105221,2.5984,363.3,28.9,1.7,1018.0,0,0
CONFIRMED,0.971,8.10904807,3.596,217.4,14.1,1.3,800.0,0,0
FALSE POSITIVE,,386.6030528,6.8057,24927.0,994.0,41.5,297.0,0,1
CONFIRMED,1.0,21.67699193,3.4555,857.2,34.3,2.95,530.0,0,0
CONFIRMED,1.0,4.99677968,2.1717,934.7,28.2,2.78,917.0,0,0
CONFIRMED,1.0,4.280963604,2.875,750.8,61.8,2.3,1012.0,0,0
FALSE POSITIVE,0.0,1.50635409,1.5155,2211.7,181.1,4.53,1452.0,0,0
FALSE POSITIVE,0.0,670.645531,53.412,18091.0,642.7,14.14,196.0,0,1
FALSE POSITIVE,0.0,61.2563628,7.633,5123.3,85.3,39.87,505.0,0,1
CONFIRMED,1.0,38.3775486,5.588,724.2,34.7,2.82,529.0,0,0
CONFIRMED,0.992,41.19725502,4.6297,2213.9,51.2,3.86,439.0,0,0
CONFIRMED,1.0,6.252962249,2.5819,1036.9,47.1,2.65,823.0,0,0
CONFIRMED,1.0,16.01308419,3.2554,1121.9,33.2,3.1,593.0,0,0
CONFIRMED,1.0,32.62876672,4.7971,1804.8,80.0,3.36,506.0,0,0
CONFIRMED,0.978,91.7732862,6.473,652.0,19.1,2.12,359.0,0,0
CONFIRMED,1.0,4.959319244,2.22739,9802.0,696.5,12.21,1103.0,0,0
FALSE POSITIVE,0.0,2.701287801,3.3827,860.4,48.3,6.54,1222.0,0,1
CONFIRMED,1.0,4.49876511,3.7362,460.0,29.5,2.1,1133.0,0,0
FALSE POSITIVE,0.0,19.651209505,5.2514,11766.0,513.4,12.42,730.0,0,1
CONFIRMED,1.0,5.412203927,2.9472,601.6,166.7,2.94,1093.0,0,0
CONFIRMED,0.998,41.43958662,10.5989,2793.1,141.1,5.5,516.0,0,0
CONFIRMED,1.0,8.35389523,2.2514,1041.6,43.4,2.52,790.0,0,0
CONFIRMED,1.0,4.125543472,3.1744,1487.3,128.6,4.43,1243.0,0,0
CONFIRMED,1.0,2.816504904,2.50587,16814.0,1406.8,12.21,1219.0,0,0
FALSE POSITIVE,0.0,33.93373447,14.561,8503.7,236.1,7.34,430.0,0,1
CONFIRMED,1.0,3.689920099,2.6557,426.7,35.6,1.89,1147.0,0,0
CONFIRMED,1.0,4.431238488,3.15,1010.9,71.1,3.25,1104.0,0,0
CONFIRMED,1.0,11.37936986,2.6255,1023.5,37.9,3.95,806.0,0,0
CONFIRMED,1.0,26.39432897,3.573,1510.9,48.2,3.07,489.0,0,0
CONFIRMED,1.0,13.57078281,3.3539,511.7,88.4,2.64,785.0,0,0
CONFIRMED,1.0,7.12594387,3.0014,192.4,47.1,1.79,997.0,0,0
FALSE POSITIVE,0.014,7.442652004,2.3078,24446.0,835.6,15.03,967.0,0,1
CONFIRMED,1.0,16.38489988,3.0249,1127.1,28.9,2.0,433.0,0,0
CONFIRMED,1.0,7.8774163,2.0805,1306.1,38.7,2.16,553.0,0,0
CONFIRMED,1.0,36.4454001,4.007,1122.3,21.7,1.99,332.0,0,0
CONFIRMED,1.0,3.728732147,2.683,5226.5,345.2,6.02,1023.0,0,0
CANDIDATE,0.999,40.4195037,3.362,6256.0,36.9,7.51,467.0,0,0
CONFIRMED,1.0,2.243380573,1.1196,821.7,38.9,1.99,822.0,0,0
FALSE POSITIVE,0.0,10.405998015,6.5036,14489.0,745.2,11.23,833.0,0,1
CONFIRMED,1.0,2.337437946,1.9982,971.2,82.4,2.34,1070.0,0,0
CANDIDATE,0.993,7.2406612,0.558,556.4,13.7,19.45,734.0,0,0
CANDIDATE,0.871,3.43591631,3.133,23.2,8.7,0.55,1272.0,0,0
CONFIRMED,1.0,11.59822233,2.5237,2804.5,71.0,2.65,396.0,0,0
CONFIRMED,1.0,6.575315881,4.3084,2793.3,221.1,5.31,1015.0,0,0
CONFIRMED,1.0,7.275040844,7.5377,3001.0,312.1,4.86,833.0,0,0
CONFIRMED,1.0,19.27153892,2.7594,1219.8,37.1,1.93,393.0,0,0
CONFIRMED,1.0,10.06524317,1.369,1053.3,30.3,1.91,488.0,0,0
CONFIRMED,1.0,12.3935651,3.8896,916.6,35.8,2.66,677.0,0,0
CONFIRMED,0.998,43.84439721,6.802,615.2,83.7,2.87,531.0,0,0
FALSE POSITIVE,0.0,3.341913228,3.813,725.3,39.0,21.55,1032.0,0,1
FALSE POSITIVE,0.773,1.626630225,2.1145,1620.6,103.6,32.43,1547.0,0,0
CONFIRMED,1.0,2.711504086,3.0099,837.5,64.5,3.12,1420.0,0,0
CONFIRMED,1.0,7.21203748,4.0491,950.4,51.5,3.32,1025.0,0,0
FALSE POSITIVE,,14.1798187,2.505,459.9,11.2,1.88,711.0,0,0
CONFIRMED,1.0,8.47237911,2.7245,1123.5,47.6,2.59,751.0,0,0
CONFIRMED,0.989,60.4189369,5.039,931.3,20.1,2.36,390.0,0,0
CONFIRMED,1.0,12.611904345,5.1497,6105.6,277.2,7.4,753.0,0,0
